GBFS - h3 - Puzzle #6 - Search
0 0 0 
1 1 3 BB.G.HE..G.HEAAG....FCCIDDF..I..F..I
2 2 3 BB.G.H...G.HEAAG..E.FCCIDDF..I..F..I
2 2 3 .BBG.H...G.HEAAG..E.FCCIDDF..I..F..I
3 3 3 BB.G.....G.HEAAG.HE.FCCIDDF..I..F..I
3 3 3 EBBG.HE..G.H.AAG.I..FCCIDDF..I..F...
4 4 3 .BBG.H...G.HEAAG.IE.FCCIDDF..I..F...
1 1 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
1 1 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
2 2 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
3 3 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
3 3 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
4 4 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
4 4 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
4 4 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
4 4 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
5 5 6 EBBG.HE.FG.HAAFG....FCCIDD...I.....I
5 5 6 EBBG..E.FG.HAAFG.H..FCCIDD...I.....I
5 5 6 EBBG.HE.FG.HAAFG.I..FCCIDD...I......
5 5 6 EBBG.HE.FG.HAAFG.I..FCCIDD...I......
6 6 6 EBBG.HE.FG.HAAFG....FCCI...DDI.....I
6 6 6 EBBG.HE.FG.HAAFG.I..FCCI.DD..I......
6 6 6 EBBG.HE.FG.HAAFG.I..FCCI..DD.I......
7 7 3 EBBG.HE..G.HAA.G....FCCI..FDDI..F..I
8 8 3 EBBG.HE..G.HAA.G.I..FCCI..FDDI..F...
9 9 3 EBBG.HE..G.H.AAG.I..FCCI..FDDI..F...
9 9 3 .BBG.HE..G.HEAAG.I..FCCI..FDDI..F...
9 9 3 .BBG.H...G.HEAAG.IE.FCCI..FDDI..F...
9 9 3 .BBG.H...G.H.AAG.IE.FCCIE.FDDI..F...
10 10 3 .BBG.H...G.H.AAG.I..FCCIE.FDDIE.F...
10 10 3 BB.G.HE..G.HEAAG.I..FCCI..FDDI..F...
10 10 3 BB.G.H...G.HEAAG.IE.FCCI..FDDI..F...
10 10 3 BB.G.H...G.H.AAG.IE.FCCIE.FDDI..F...
10 10 3 .BBG.H..FG.HAAFG..E.FCCIE..DDI.....I
10 10 3 BB.G.H...G.H.AAG.I..FCCIE.FDDIE.F...
11 11 3 .BBG.H..FG.HAAFG....FCCIE..DDIE....I
11 11 3 BBFG.H..FG.HAAFG..E..CCIE..DDI.....I
7 7 6 BBFG.H..FG.HAAFG.....CCIE..DDIE....I
8 8 6 EBBG.HE..G.HAAFG.I..FCCI..FDDI......
8 8 6 EBBG.HE..G.HAAFG.I..FCCI..FDDI......
9 9 6 EBBG.HE..G.HAAFG.I..FCCI..FDDI......
9 9 6 EBBG.HE..G.HAAFG.I..FCCI..FDDI......
10 10 6 EBBG.HE..G.HAAFG.I..FCCI..FDDI......
10 10 6 EBBG.HE..G.HAAFG.I..FCCI..FDDI......
10 10 6 EBBG.HE..G.HAAFG.I..FCCI..FDDI......
10 10 6 EBBG.HE..G.HAAFG.I..FCCI..FDDI......
