GBFS - h2 - Puzzle #3 - Search
0 0 0 
1 1 2 JBBCCCJDD..MJAAL.MFFKL.N..KGGN....HH
1 1 2 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGN....HH
1 1 2 JBBCCCJ..DDMJAAL.MFFKL.N..KGGN....HH
1 1 2 JBBCCCJDDL.MJAAL.MFFK..N..KGGN....HH
1 1 2 JBBCCCJDD..MJAAL.MFFKL....KGGN...HHN
1 1 2 JBBCCCJDD..MJAAL.MFF.L.N..KGGNHHK...
1 1 2 JBBCCCJDD..MJAAL.MFF.L.N..KGGNHHK...
1 1 2 JBBCCCJDD..MJAAL.MFF.L.N..KGGN..KHH.
2 2 2 JBBCCCJDD..MJAAL.MFF.L.N..KGGN..K.HH
2 2 2 JBBCCCJ.DD.MJAAL.MFFKL....KGGN...HHN
2 2 2 JBBCCCJ.DD.MJAAL.MFF.L.N..KGGNHHK...
2 2 2 JBBCCCJ.DD.MJAAL.MFF.L.N..KGGNHHK...
2 2 2 JBBCCCJ.DD.MJAAL.MFF.L.N..KGGN..KHH.
2 2 2 JBBCCCJ.DD.MJAAL.MFF.L.N..KGGN..K.HH
2 2 2 JBBCCCJ..DDMJAAL.MFFKL....KGGN...HHN
2 2 2 JBBCCCJ..DDMJAAL.MFF.L.N..KGGNHHK...
2 2 2 JBBCCCJ..DDMJAAL.MFF.L.N..KGGNHHK...
2 2 2 JBBCCCJ..DDMJAAL.MFF.L.N..KGGN..KHH.
2 2 2 JBBCCCJ..DDMJAAL.MFF.L.N..KGGN..K.HH
2 2 2 JBBCCCJDDL.MJAAL.MFFK.....KGGN...HHN
2 2 2 JBBCCCJDDL.MJAAL.MFF...N..KGGNHHK...
2 2 2 JBBCCCJDDL.MJAAL.MFF...N..KGGNHHK...
2 2 2 JBBCCCJDDL.MJAAL.MFF...N..KGGN..KHH.
2 2 2 JBBCCCJDDL.MJAAL.MFF...N..KGGN..K.HH
2 2 2 JBBCCCJDD...JAAL.MFFKL.M..KGGN...HHN
2 2 2 JBBCCCJDD..MJAAL.MFF.L....KGGNHHK..N
2 2 2 JBBCCCJDD..MJAAL.MFF.L....KGGNHHK..N
2 2 2 JBBCCCJDD..MJAAL.MFF.L....KGGN..KHHN
2 2 2 JBBCCCJDD..MJAAL.M.FFL.N..KGGNHHK...
2 2 2 JBBCCCJDD..MJAAL.M.FFL.N..KGGN..KHH.
3 3 2 JBBCCCJDD..MJAAL.M.FFL.N..KGGN..K.HH
3 3 2 JBBCCCJ.DD..JAAL.MFFKL.M..KGGN...HHN
3 3 2 JBBCCCJ.DD.MJAAL.MFF.L....KGGNHHK..N
3 3 2 JBBCCCJ.DD.MJAAL.MFF.L....KGGNHHK..N
3 3 2 JBBCCCJ.DD.MJAAL.MFF.L....KGGN..KHHN
3 3 2 JBBCCCJ.DD.MJAAL.M.FFL.N..KGGNHHK...
3 3 2 JBBCCCJ.DD.MJAAL.M.FFL.N..KGGN..KHH.
